Strain	Code
rsys_HQ685849_Base-NCBI	rsys_HQ685849_Base-NCBI
rsys_HQ656826_Base-NCBI	rsys_HQ656826_Base-NCBI
rsys_HQ710593_Base-NCBI	rsys_HQ710593_Base-NCBI
rsys_AY604697_Base-NCBI	rsys_AY604697_Base-NCBI
rsys_JQ217345_Base-NCBI	rsys_JQ217345_Base-NCBI
rsys_GQ921309_Base-NCBI	rsys_GQ921309_Base-NCBI
rsys_HQ656825_Base-NCBI	rsys_HQ656825_Base-NCBI
rsys_HQ912422_Base-NCBI	rsys_HQ912422_Base-NCBI
rsys_KM202105_Base-NCBI	rsys_KM202105_Base-NCBI
rsys_EU090033_Base-NCBI	rsys_EU090033_Base-NCBI
rsys_HQ685848_Base-NCBI	rsys_HQ685848_Base-NCBI
rsys_HQ912514_Base-NCBI	rsys_HQ912514_Base-NCBI
rsys_AB430666_Base-NCBI	rsys_AB430666_Base-NCBI
rsys_FJ002154_Base-NCBI	rsys_FJ002154_Base-NCBI
rsys_JQ217346_Base-NCBI	rsys_JQ217346_Base-NCBI
rsys_KM407459_Base-NCBI	rsys_KM407459_Base-NCBI
rsys_KM407460_Base-NCBI	rsys_KM407460_Base-NCBI
rsys_KJ577891_Base-NCBI	rsys_KJ577891_Base-NCBI
rsys_JX413564_Base-NCBI	rsys_JX413564_Base-NCBI
rsys_AB430675_Base-NCBI	rsys_AB430675_Base-NCBI
rsys_JN162771_Base-NCBI	rsys_JN162771_Base-NCBI
rsys_JN162772_Base-NCBI	rsys_JN162772_Base-NCBI
rsys_JX401249_Base-NCBI	rsys_JX401249_Base-NCBI
rsys_JX401250_Base-NCBI	rsys_JX401250_Base-NCBI
rsys_KF701605_Base-NCBI	rsys_KF701605_Base-NCBI
rsys_KF701606_Base-NCBI	rsys_KF701606_Base-NCBI
rsys_KR048207_Base-NCBI	rsys_KR048207_Base-NCBI
rsys_KR048208_Base-NCBI	rsys_KR048208_Base-NCBI
rsys_KR048209_Base-NCBI	rsys_KR048209_Base-NCBI
rsys_KR048210_Base-NCBI	rsys_KR048210_Base-NCBI
rsys_KT119337_Base-NCBI	rsys_KT119337_Base-NCBI
rsys_FJ002126_Base-NCBI	rsys_FJ002126_Base-NCBI
rsys_KJ577893_Base-NCBI	rsys_KJ577893_Base-NCBI
rsys_HQ912547_Base-NCBI	rsys_HQ912547_Base-NCBI
rsys_HQ912548_Base-NCBI	rsys_HQ912548_Base-NCBI
rsys_AB430669_Base-NCBI	rsys_AB430669_Base-NCBI
rsys_DQ514769_Base-NCBI	rsys_DQ514769_Base-NCBI
rsys_JX413563_Base-NCBI	rsys_JX413563_Base-NCBI
rsys_KF701603_Base-NCBI	rsys_KF701603_Base-NCBI
rsys_KJ577904_Base-NCBI	rsys_KJ577904_Base-NCBI
rsys_HQ912520_Base-NCBI	rsys_HQ912520_Base-NCBI
rsys_KJ577906_Base-NCBI	rsys_KJ577906_Base-NCBI
rsys_KJ577907_Base-NCBI	rsys_KJ577907_Base-NCBI
rsys_KR048215_Base-NCBI	rsys_KR048215_Base-NCBI
rsys_KR059024_Base-NCBI	rsys_KR059024_Base-NCBI
rsys_KR048211_Base-NCBI	rsys_KR048211_Base-NCBI
rsys_FJ002107_Base-NCBI	rsys_FJ002107_Base-NCBI
rsys_JN159931_Base-NCBI	rsys_JN159931_Base-NCBI
rsys_KM594531_Base-NCBI	rsys_KM594531_Base-NCBI
rsys_JN162821_Base-NCBI	rsys_JN162821_Base-NCBI
rsys_DQ514817_Base-NCBI	rsys_DQ514817_Base-NCBI
rsys_DQ514818_Base-NCBI	rsys_DQ514818_Base-NCBI
rsys_JN162823_Base-NCBI	rsys_JN162823_Base-NCBI
rsys_DQ514821_Base-NCBI	rsys_DQ514821_Base-NCBI
rsys_KJ081746_Base-NCBI	rsys_KJ081746_Base-NCBI
rsys_DQ514819_Base-NCBI	rsys_DQ514819_Base-NCBI
rsys_DQ514820_Base-NCBI	rsys_DQ514820_Base-NCBI
rsys_FJ002149_Base-NCBI	rsys_FJ002149_Base-NCBI
rsys_KR048214_Base-NCBI	rsys_KR048214_Base-NCBI
rsys_KJ577909_Base-NCBI	rsys_KJ577909_Base-NCBI
rsys_HQ912546_Base-NCBI	rsys_HQ912546_Base-NCBI
rsys_HQ912543_Base-NCBI	rsys_HQ912543_Base-NCBI
rsys_HQ912544_Base-NCBI	rsys_HQ912544_Base-NCBI
rsys_HQ912512_Base-NCBI	rsys_HQ912512_Base-NCBI
rsys_JX413567_Base-NCBI	rsys_JX413567_Base-NCBI
AY307409	AY307409
715	715
790	790
KM084957	KM084957
rsys_AM710434_Base-NCBI	rsys_AM710434_Base-NCBI
rsys_AM710435_Base-NCBI	rsys_AM710435_Base-NCBI
rsys_JN418670_Base-NCBI	rsys_JN418670_Base-NCBI
rsys_KM084956_Base-NCBI	rsys_KM084956_Base-NCBI
rsys_TCC483-Rbcl-1_@speed-ID	rsys_TCC483-Rbcl-1_@speed-ID
rsys_TCC484-Rbcl-1_@speed-ID	rsys_TCC484-Rbcl-1_@speed-ID
rsys_TCC540-Rbcl-1_onema	rsys_TCC540-Rbcl-1_onema
rsys_TCC581-Rbcl-1_onema	rsys_TCC581-Rbcl-1_onema
rsys_TCC645-Rbcl-1_@speed-ID	rsys_TCC645-Rbcl-1_@speed-ID
rsys_TCC732-Rbcl-1_@speed-ID	rsys_TCC732-Rbcl-1_@speed-ID
rsys_TCC895-Rbcl-1_Sequencage_TCC	rsys_TCC895-Rbcl-1_Sequencage_TCC
rsys_TCC897-Rbcl-1_Sequencage_TCC	rsys_TCC897-Rbcl-1_Sequencage_TCC
rsys_TCC899-Rbcl-1_Sequencage_TCC	rsys_TCC899-Rbcl-1_Sequencage_TCC
KM084975	KM084975
rsys_KM084963_Base-NCBI	rsys_KM084963_Base-NCBI
rsys_KM084964_Base-NCBI	rsys_KM084964_Base-NCBI
rsys_KM084965_Base-NCBI	rsys_KM084965_Base-NCBI
rsys_KM084966_Base-NCBI	rsys_KM084966_Base-NCBI
rsys_KM084968_Base-NCBI	rsys_KM084968_Base-NCBI
rsys_KM084969_Base-NCBI	rsys_KM084969_Base-NCBI
rsys_KM084971_Base-NCBI	rsys_KM084971_Base-NCBI
rsys_KM084972_Base-NCBI	rsys_KM084972_Base-NCBI
rsys_KM084973_Base-NCBI	rsys_KM084973_Base-NCBI
rsys_KM084974_Base-NCBI	rsys_KM084974_Base-NCBI
rsys_TCC742-Rbcl-1_onema	rsys_TCC742-Rbcl-1_onema
rsys_TCC745-Rbcl-1_onema	rsys_TCC745-Rbcl-1_onema
rsys_FJ002129_Base-NCBI	rsys_FJ002129_Base-NCBI
rsys_HQ912430_Base-NCBI	rsys_HQ912430_Base-NCBI
298	298
306	306
523	523
641	641
683	683
767	767
809	809
886	886
KC309611	KC309611
rsys_TCC532-Rbcl-1_@speed-ID	rsys_TCC532-Rbcl-1_@speed-ID
rsys_TCC625-Rbcl-1_@speed-ID	rsys_TCC625-Rbcl-1_@speed-ID
rsys_TCC631-Rbcl-1_@speed-ID	rsys_TCC631-Rbcl-1_@speed-ID
KM592936	KM592936
rsys_KJ577898_Base-NCBI	rsys_KJ577898_Base-NCBI
rsys_AB430661_Base-NCBI	rsys_AB430661_Base-NCBI
rsys_JN162789_Base-NCBI	rsys_JN162789_Base-NCBI
849	849
31	31
500	500
673	673
68	68
680	680
69	69
728	728
KM084955	KM084955
rsys_AM710438_Base-NCBI	rsys_AM710438_Base-NCBI
rsys_AM710494_Base-NCBI	rsys_AM710494_Base-NCBI
rsys_AM710501_Base-NCBI	rsys_AM710501_Base-NCBI
66	66
760	760
793	793
HQ912467	HQ912467
KC736601	KC736601
KM084944	KM084944
KM084946	KM084946
KM999112	KM999112
rsys_AM710439_Base-NCBI	rsys_AM710439_Base-NCBI
rsys_AM710463_Base-NCBI	rsys_AM710463_Base-NCBI
rsys_HQ337543_Base-NCBI	rsys_HQ337543_Base-NCBI
rsys_TCC515-Rbcl-1_onema	rsys_TCC515-Rbcl-1_onema
rsys_TCC578-Rbcl-1_onema	rsys_TCC578-Rbcl-1_onema
rsys_TCC622-Rbcl-1_onema	rsys_TCC622-Rbcl-1_onema
rsys_JQ432374_Base-NCBI	rsys_JQ432374_Base-NCBI
274	274
275	275
280	280
284	284
286	286
294	294
296	296
297	297
299	299
300	300
321	321
322	322
324	324
326	326
329	329
331	331
353	353
363	363
44	44
519	519
521	521
522	522
526	526
528	528
531	531
534	534
535	535
538	538
539	539
540	540
55	55
598	598
599	599
602	602
72	72
765	765
766	766
779	779
797	797
798	798
811	811
812	812
813	813
817	817
84	84
rsys_FJ002148_Base-NCBI	rsys_FJ002148_Base-NCBI
rsys_TCC659-Rbcl-1_@speed-ID	rsys_TCC659-Rbcl-1_@speed-ID
303	303
312	312
316	316
36	36
369	369
536	536
777	777
796	796
841	841
867	867
KM084949	KM084949
KM084954	KM084954
KM084960	KM084960
rsys_AM710440_Base-NCBI	rsys_AM710440_Base-NCBI
rsys_AM710442_Base-NCBI	rsys_AM710442_Base-NCBI
rsys_TCC502-Rbcl-1_@speed-ID	rsys_TCC502-Rbcl-1_@speed-ID
108	108
rsys_AM710457_Base-NCBI	rsys_AM710457_Base-NCBI
909	909
rsys_AM710436_Base-NCBI	rsys_AM710436_Base-NCBI
rsys_AM710437_Base-NCBI	rsys_AM710437_Base-NCBI
rsys_AM710441_Base-NCBI	rsys_AM710441_Base-NCBI
rsys_TCC712-Rbcl-1_@speed-ID	rsys_TCC712-Rbcl-1_@speed-ID
rsys_TCC881-Rbcl-1_Sequencage_TCC	rsys_TCC881-Rbcl-1_Sequencage_TCC
rsys_AM710474_Base-NCBI	rsys_AM710474_Base-NCBI
rsys_EU938312_Base-NCBI	rsys_EU938312_Base-NCBI
rsys_EU938313_Base-NCBI	rsys_EU938313_Base-NCBI
rsys_EU938314_Base-NCBI	rsys_EU938314_Base-NCBI
rsys_EU938315_Base-NCBI	rsys_EU938315_Base-NCBI
rsys_EU938316_Base-NCBI	rsys_EU938316_Base-NCBI
rsys_EU938317_Base-NCBI	rsys_EU938317_Base-NCBI
rsys_EU938318_Base-NCBI	rsys_EU938318_Base-NCBI
rsys_EU938319_Base-NCBI	rsys_EU938319_Base-NCBI
rsys_EU938320_Base-NCBI	rsys_EU938320_Base-NCBI
rsys_FJ624242_Base-NCBI	rsys_FJ624242_Base-NCBI
rsys_FJ624243_Base-NCBI	rsys_FJ624243_Base-NCBI
rsys_FJ624244_Base-NCBI	rsys_FJ624244_Base-NCBI
rsys_FJ624245_Base-NCBI	rsys_FJ624245_Base-NCBI
rsys_FJ624246_Base-NCBI	rsys_FJ624246_Base-NCBI
rsys_FJ624247_Base-NCBI	rsys_FJ624247_Base-NCBI
rsys_FJ624248_Base-NCBI	rsys_FJ624248_Base-NCBI
rsys_FJ624249_Base-NCBI	rsys_FJ624249_Base-NCBI
rsys_FJ624250_Base-NCBI	rsys_FJ624250_Base-NCBI
rsys_FJ624251_Base-NCBI	rsys_FJ624251_Base-NCBI
rsys_FJ002097_Base-NCBI	rsys_FJ002097_Base-NCBI
rsys_HQ337548_Base-NCBI	rsys_HQ337548_Base-NCBI
775	775
KM084942	KM084942
rsys_FJ002098_Base-NCBI	rsys_FJ002098_Base-NCBI
716	716
gAM710495	gAM710495
KM084935	KM084935
KM084986	KM084986
rsys_AM710495_Base-NCBI	rsys_AM710495_Base-NCBI
rsys_KM084936_Base-NCBI	rsys_KM084936_Base-NCBI
rsys_TCC580-Rbcl-1_@speed-ID	rsys_TCC580-Rbcl-1_@speed-ID
AY571749	AY571749
rsys_AM710479_Base-NCBI	rsys_AM710479_Base-NCBI
rsys_TCC530-Rbcl-1_@speed-ID	rsys_TCC530-Rbcl-1_@speed-ID
rsys_TCC590-Rbcl-1_@speed-ID	rsys_TCC590-Rbcl-1_@speed-ID
81	81
864	864
KM084994	KM084994
rsys_AM710478_Base-NCBI	rsys_AM710478_Base-NCBI
rsys_AM710482_Base-NCBI	rsys_AM710482_Base-NCBI
rsys_AM710496_Base-NCBI	rsys_AM710496_Base-NCBI
rsys_TCC607-Rbcl-1_@speed-ID	rsys_TCC607-Rbcl-1_@speed-ID
rsys_TCC448-Rbcl-1_@speed-ID	rsys_TCC448-Rbcl-1_@speed-ID
rsys_TCC587-Rbcl-1_@speed-ID	rsys_TCC587-Rbcl-1_@speed-ID
593	593
800	800
rsys_AB430695_Base-NCBI	rsys_AB430695_Base-NCBI
rsys_EU090047_Base-NCBI	rsys_EU090047_Base-NCBI
rsys_EU090048_Base-NCBI	rsys_EU090048_Base-NCBI
rsys_FJ002133_Base-NCBI	rsys_FJ002133_Base-NCBI
rsys_HQ337551_Base-NCBI	rsys_HQ337551_Base-NCBI
rsys_HQ337552_Base-NCBI	rsys_HQ337552_Base-NCBI
rsys_HQ337553_Base-NCBI	rsys_HQ337553_Base-NCBI
rsys_HQ337555_Base-NCBI	rsys_HQ337555_Base-NCBI
rsys_KP400305_Base-NCBI	rsys_KP400305_Base-NCBI
rsys_TCC490-Rbcl-1_onema	rsys_TCC490-Rbcl-1_onema
rsys_TCC495-Rbcl-1_@speed-ID	rsys_TCC495-Rbcl-1_@speed-ID
EF143288	EF143288
rsys_TCC604-Rbcl-1_@speed-ID	rsys_TCC604-Rbcl-1_@speed-ID
rsys_TCC605-Rbcl-1_onema	rsys_TCC605-Rbcl-1_onema
rsys_AY604699_Base-NCBI	rsys_AY604699_Base-NCBI
rsys_HQ337549_Base-NCBI	rsys_HQ337549_Base-NCBI
rsys_HQ337550_Base-NCBI	rsys_HQ337550_Base-NCBI
rsys_HQ337544_Base-NCBI	rsys_HQ337544_Base-NCBI
rsys_HQ337545_Base-NCBI	rsys_HQ337545_Base-NCBI
rsys_HQ337541_Base-NCBI	rsys_HQ337541_Base-NCBI
rsys_HQ337542_Base-NCBI	rsys_HQ337542_Base-NCBI
rsys_KP400281_Base-NCBI	rsys_KP400281_Base-NCBI
rsys_KP400282_Base-NCBI	rsys_KP400282_Base-NCBI
rsys_KP400283_Base-NCBI	rsys_KP400283_Base-NCBI
rsys_KP400284_Base-NCBI	rsys_KP400284_Base-NCBI
rsys_KP400287_Base-NCBI	rsys_KP400287_Base-NCBI
rsys_JQ432376_Base-NCBI	rsys_JQ432376_Base-NCBI
869	869
HQ912446	HQ912446
AM710508	AM710508
HQ912447	HQ912447
HQ912455	HQ912455
762	762
rsys_KP325184_Base-NCBI	rsys_KP325184_Base-NCBI
rsys_KP325185_Base-NCBI	rsys_KP325185_Base-NCBI
rsys_KP325186_Base-NCBI	rsys_KP325186_Base-NCBI
rsys_KP325187_Base-NCBI	rsys_KP325187_Base-NCBI
rsys_KP325188_Base-NCBI	rsys_KP325188_Base-NCBI
rsys_KP325189_Base-NCBI	rsys_KP325189_Base-NCBI
rsys_KP325190_Base-NCBI	rsys_KP325190_Base-NCBI
rsys_KP325191_Base-NCBI	rsys_KP325191_Base-NCBI
rsys_KP325192_Base-NCBI	rsys_KP325192_Base-NCBI
rsys_KP325193_Base-NCBI	rsys_KP325193_Base-NCBI
rsys_KP325194_Base-NCBI	rsys_KP325194_Base-NCBI
rsys_KM078664_Base-NCBI	rsys_KM078664_Base-NCBI
rsys_KM078665_Base-NCBI	rsys_KM078665_Base-NCBI
rsys_KM078666_Base-NCBI	rsys_KM078666_Base-NCBI
rsys_KP325182_Base-NCBI	rsys_KP325182_Base-NCBI
rsys_KP325183_Base-NCBI	rsys_KP325183_Base-NCBI
rsys_KP325204_Base-NCBI	rsys_KP325204_Base-NCBI
rsys_KP325206_Base-NCBI	rsys_KP325206_Base-NCBI
rsys_KP325207_Base-NCBI	rsys_KP325207_Base-NCBI
rsys_KP325208_Base-NCBI	rsys_KP325208_Base-NCBI
rsys_KP325209_Base-NCBI	rsys_KP325209_Base-NCBI
rsys_KP325195_Base-NCBI	rsys_KP325195_Base-NCBI
rsys_KP325196_Base-NCBI	rsys_KP325196_Base-NCBI
rsys_KP325197_Base-NCBI	rsys_KP325197_Base-NCBI
rsys_KP325198_Base-NCBI	rsys_KP325198_Base-NCBI
rsys_KP325199_Base-NCBI	rsys_KP325199_Base-NCBI
rsys_KP325200_Base-NCBI	rsys_KP325200_Base-NCBI
rsys_KM999090_Base-NCBI	rsys_KM999090_Base-NCBI
rsys_KM999091_Base-NCBI	rsys_KM999091_Base-NCBI
rsys_KP325205_Base-NCBI	rsys_KP325205_Base-NCBI
rsys_KP325181_Base-NCBI	rsys_KP325181_Base-NCBI
rsys_KP125878_Base-NCBI	rsys_KP125878_Base-NCBI
461	461
53	53
650	650
HF675066	HF675066
HF675067	HF675067
HF675068	HF675068
rsys_TCC533-Rbcl-1_@speed-ID	rsys_TCC533-Rbcl-1_@speed-ID
730	730
838	838
rsys_TCC885-Rbcl-1_Sequencage_TCC	rsys_TCC885-Rbcl-1_Sequencage_TCC
308	308
469	469
HF675069	HF675069
HF675070	HF675070
rsys_TCC521-Rbcl-1_@speed-ID	rsys_TCC521-Rbcl-1_@speed-ID
rsys_TCC545-Rbcl-1_@speed-ID	rsys_TCC545-Rbcl-1_@speed-ID
rsys_TCC549-Rbcl-1_@speed-ID	rsys_TCC549-Rbcl-1_@speed-ID
rsys_TCC550-Rbcl-1_@speed-ID	rsys_TCC550-Rbcl-1_@speed-ID
rsys_TCC551-Rbcl-1_@speed-ID	rsys_TCC551-Rbcl-1_@speed-ID
116	116
117	117
193	193
202	202
210	210
225	225
227	227
234	234
236	236
240	240
277	277
309	309
373	373
375	375
39	39
603	603
605	605
660	660
670	670
748	748
774	774
776	776
786	786
788	788
789	789
846	846
848	848
905	905
910	910
912	912
913	913
95	95
HF675104	HF675104
HF675105	HF675105
HF675106	HF675106
HF675107	HF675107
HF675120	HF675120
HF675121	HF675121
HF675122	HF675122
HF675123	HF675123
HF675124	HF675124
HF675125	HF675125
HF675126	HF675126
HF675127	HF675127
HF675128	HF675128
rsys_FN557017_Base-NCBI	rsys_FN557017_Base-NCBI
rsys_FN557018_Base-NCBI	rsys_FN557018_Base-NCBI
rsys_FN557019_Base-NCBI	rsys_FN557019_Base-NCBI
rsys_FN557020_Base-NCBI	rsys_FN557020_Base-NCBI
rsys_FN557021_Base-NCBI	rsys_FN557021_Base-NCBI
rsys_FN557022_Base-NCBI	rsys_FN557022_Base-NCBI
rsys_FN557023_Base-NCBI	rsys_FN557023_Base-NCBI
rsys_FN557024_Base-NCBI	rsys_FN557024_Base-NCBI
rsys_FN557025_Base-NCBI	rsys_FN557025_Base-NCBI
rsys_FN557026_Base-NCBI	rsys_FN557026_Base-NCBI
rsys_FN557027_Base-NCBI	rsys_FN557027_Base-NCBI
rsys_FN557028_Base-NCBI	rsys_FN557028_Base-NCBI
rsys_FN557029_Base-NCBI	rsys_FN557029_Base-NCBI
rsys_JQ610169_Base-NCBI	rsys_JQ610169_Base-NCBI
rsys_JQ610170_Base-NCBI	rsys_JQ610170_Base-NCBI
rsys_JQ610171_Base-NCBI	rsys_JQ610171_Base-NCBI
rsys_TCC139-1-Rbcl-1_@speed-ID	rsys_TCC139-1-Rbcl-1_@speed-ID
rsys_TCC139-2-Rbcl-1_@speed-ID	rsys_TCC139-2-Rbcl-1_@speed-ID
rsys_TCC139-3-Rbcl-1_@speed-ID	rsys_TCC139-3-Rbcl-1_@speed-ID
rsys_TCC425-Rbcl-1_onema	rsys_TCC425-Rbcl-1_onema
rsys_TCC427-Rbcl-1_@speed-ID	rsys_TCC427-Rbcl-1_@speed-ID
rsys_TCC435-Rbcl-1_@speed-ID	rsys_TCC435-Rbcl-1_@speed-ID
rsys_TCC437-Rbcl-1_@speed-ID	rsys_TCC437-Rbcl-1_@speed-ID
rsys_TCC456-Rbcl-1_onema	rsys_TCC456-Rbcl-1_onema
rsys_TCC457-Rbcl-1_@speed-ID	rsys_TCC457-Rbcl-1_@speed-ID
rsys_TCC468-Rbcl-1_@speed-ID	rsys_TCC468-Rbcl-1_@speed-ID
rsys_TCC475-Rbcl-1_@speed-ID	rsys_TCC475-Rbcl-1_@speed-ID
rsys_TCC476-Rbcl-1_@speed-ID	rsys_TCC476-Rbcl-1_@speed-ID
rsys_TCC480-Rbcl-1_@speed-ID	rsys_TCC480-Rbcl-1_@speed-ID
rsys_TCC486-Rbcl-1_@speed-ID	rsys_TCC486-Rbcl-1_@speed-ID
rsys_TCC491-Rbcl-1_@speed-ID	rsys_TCC491-Rbcl-1_@speed-ID
rsys_TCC493-Rbcl-1_onema	rsys_TCC493-Rbcl-1_onema
rsys_TCC523-Rbcl-1_@speed-ID	rsys_TCC523-Rbcl-1_@speed-ID
rsys_TCC528-Rbcl-1_@speed-ID	rsys_TCC528-Rbcl-1_@speed-ID
rsys_TCC531-Rbcl-1_@speed-ID	rsys_TCC531-Rbcl-1_@speed-ID
rsys_TCC563-Rbcl-1_@speed-ID	rsys_TCC563-Rbcl-1_@speed-ID
rsys_TCC568-Rbcl-1_@speed-ID	rsys_TCC568-Rbcl-1_@speed-ID
rsys_TCC570-Rbcl-1_onema	rsys_TCC570-Rbcl-1_onema
rsys_TCC573-Rbcl-1_@speed-ID	rsys_TCC573-Rbcl-1_@speed-ID
rsys_TCC577-Rbcl-1_@speed-ID	rsys_TCC577-Rbcl-1_@speed-ID
rsys_TCC583-Rbcl-1_@speed-ID	rsys_TCC583-Rbcl-1_@speed-ID
rsys_TCC585-Rbcl-1_@speed-ID	rsys_TCC585-Rbcl-1_@speed-ID
rsys_TCC588-Rbcl-1_@speed-ID	rsys_TCC588-Rbcl-1_@speed-ID
rsys_TCC594-Rbcl-1_@speed-ID	rsys_TCC594-Rbcl-1_@speed-ID
rsys_TCC598-Rbcl-1_@speed-ID	rsys_TCC598-Rbcl-1_@speed-ID
rsys_TCC599-Rbcl-1_@speed-ID	rsys_TCC599-Rbcl-1_@speed-ID
rsys_TCC600-Rbcl-1_@speed-ID	rsys_TCC600-Rbcl-1_@speed-ID
rsys_TCC601-Rbcl-1_@speed-ID	rsys_TCC601-Rbcl-1_@speed-ID
rsys_TCC602-Rbcl-1_onema	rsys_TCC602-Rbcl-1_onema
rsys_TCC603-Rbcl-1_@speed-ID	rsys_TCC603-Rbcl-1_@speed-ID
rsys_TCC609-Rbcl-1_@speed-ID	rsys_TCC609-Rbcl-1_@speed-ID
rsys_TCC613-Rbcl-1_@speed-ID	rsys_TCC613-Rbcl-1_@speed-ID
rsys_TCC614-Rbcl-1_@speed-ID	rsys_TCC614-Rbcl-1_@speed-ID
rsys_TCC620-Rbcl-1_@speed-ID	rsys_TCC620-Rbcl-1_@speed-ID
rsys_TCC623-Rbcl-1_onema	rsys_TCC623-Rbcl-1_onema
rsys_TCC627-Rbcl-1_@speed-ID	rsys_TCC627-Rbcl-1_@speed-ID
rsys_TCC636-Rbcl-1_@speed-ID	rsys_TCC636-Rbcl-1_@speed-ID
rsys_TCC638-Rbcl-1_@speed-ID	rsys_TCC638-Rbcl-1_@speed-ID
rsys_TCC639-Rbcl-1_@speed-ID	rsys_TCC639-Rbcl-1_@speed-ID
rsys_TCC641-Rbcl-1_onema	rsys_TCC641-Rbcl-1_onema
rsys_TCC643-Rbcl-1_@speed-ID	rsys_TCC643-Rbcl-1_@speed-ID
rsys_TCC646-Rbcl-1_@speed-ID	rsys_TCC646-Rbcl-1_@speed-ID
rsys_TCC647-Rbcl-1_@speed-ID	rsys_TCC647-Rbcl-1_@speed-ID
rsys_TCC648-Rbcl-1_@speed-ID	rsys_TCC648-Rbcl-1_@speed-ID
rsys_TCC649-Rbcl-1_@speed-ID	rsys_TCC649-Rbcl-1_@speed-ID
rsys_TCC650-Rbcl-1_onema	rsys_TCC650-Rbcl-1_onema
rsys_TCC651-Rbcl-1_@speed-ID	rsys_TCC651-Rbcl-1_@speed-ID
rsys_TCC652-Rbcl-1_@speed-ID	rsys_TCC652-Rbcl-1_@speed-ID
rsys_TCC665-Rbcl-1_@speed-ID	rsys_TCC665-Rbcl-1_@speed-ID
rsys_TCC703-Rbcl-1_@speed-ID	rsys_TCC703-Rbcl-1_@speed-ID
rsys_TCC708-Rbcl-1_@speed-ID	rsys_TCC708-Rbcl-1_@speed-ID
rsys_TCC757-rbcl-1_onema	rsys_TCC757-rbcl-1_onema
rsys_TCC762-rbcl-1_onema	rsys_TCC762-rbcl-1_onema
rsys_TCC764-rbcl-1_onema	rsys_TCC764-rbcl-1_onema
rsys_TCC766-rbcl-1_onema	rsys_TCC766-rbcl-1_onema
rsys_TCC767-rbcl-1_onema	rsys_TCC767-rbcl-1_onema
rsys_TCC768-rbcl-1_onema	rsys_TCC768-rbcl-1_onema
rsys_TCC854-Rbcl-1_Sequencage_TCC	rsys_TCC854-Rbcl-1_Sequencage_TCC
rsys_TCC864-Rbcl-1_Sequencage_TCC	rsys_TCC864-Rbcl-1_Sequencage_TCC
rsys_TCC886-Rbcl-1_Sequencage_TCC	rsys_TCC886-Rbcl-1_Sequencage_TCC
rsys_TCC909-rbcl-1_onema	rsys_TCC909-rbcl-1_onema
rsys_TCC910-rbcl-1_onema	rsys_TCC910-rbcl-1_onema
rsys_TCC922-rbcl-1_onema	rsys_TCC922-rbcl-1_onema
rsys_TCC943-rbcl-1_onema	rsys_TCC943-rbcl-1_onema
rsys_TCC853-Rbcl-1_Sequencage_TCC	rsys_TCC853-Rbcl-1_Sequencage_TCC
486	486
503	503
701	701
722	722
HF675118	HF675118
rsys_JN162793_Base-NCBI	rsys_JN162793_Base-NCBI
470	470
649	649
866	866
868	868
rsys_TCC942-rbcl-1_onema	rsys_TCC942-rbcl-1_onema
850	850
769	769
795	795
HF675103	HF675103
713	713
FN557030	FN557030
FN557031	FN557031
FN557032	FN557032
rsys_TCC579-Rbcl-1_@speed-ID	rsys_TCC579-Rbcl-1_@speed-ID
619	619
98	98
rsys_TCC537-Rbcl-1_@speed-ID	rsys_TCC537-Rbcl-1_@speed-ID
rsys_TCC538-Rbcl-1_@speed-ID	rsys_TCC538-Rbcl-1_@speed-ID
rsys_TCC543-Rbcl-1_@speed-ID	rsys_TCC543-Rbcl-1_@speed-ID
rsys_TCC739-Rbcl-1_@speed-ID	rsys_TCC739-Rbcl-1_@speed-ID
rsys_TCC872-Rbcl-1_Sequencage_TCC	rsys_TCC872-Rbcl-1_Sequencage_TCC
rsys_TCC560-Rbcl-1_onema	rsys_TCC560-Rbcl-1_onema
rsys_TCC566-Rbcl-1_@speed-ID	rsys_TCC566-Rbcl-1_@speed-ID
rsys_TCC619-Rbcl-1_onema	rsys_TCC619-Rbcl-1_onema
273	273
669	669
696	696
712	712
815	815
83	83
897	897
rsys_TCC512-Rbcl-1_@speed-ID	rsys_TCC512-Rbcl-1_@speed-ID
483	483
675	675
325	325
gHF675071	gHF675071
gHF675072	gHF675072
gHF675073	gHF675073
gHF675074	gHF675074
gHF675075	gHF675075
gHF675076	gHF675076
gHF675077	gHF675077
gHF675078	gHF675078
gHF675079	gHF675079
gHF675080	gHF675080
gHF675081	gHF675081
gHF675082	gHF675082
gHF675083	gHF675083
gHF675084	gHF675084
gHF675085	gHF675085
gHF675086	gHF675086
gHF675087	gHF675087
gHF675088	gHF675088
gHF675089	gHF675089
gHF675090	gHF675090
gHF675091	gHF675091
gHF675092	gHF675092
gHF675093	gHF675093
gHF675094	gHF675094
gHF675095	gHF675095
gHF675096	gHF675096
gHF675097	gHF675097
gHF675098	gHF675098
gHF675099	gHF675099
gHF675100	gHF675100
gHF675101	gHF675101
gHF675102	gHF675102
gKC736606	gKC736606
gKC736607	gKC736607
HF675071	HF675071
HF675072	HF675072
HF675073	HF675073
HF675074	HF675074
HF675075	HF675075
HF675076	HF675076
HF675077	HF675077
HF675078	HF675078
HF675079	HF675079
HF675080	HF675080
HF675081	HF675081
HF675082	HF675082
HF675083	HF675083
HF675084	HF675084
HF675085	HF675085
